Date,Close,FTSE 100,Date,Close,Dow Jones ,Date,Close,CAC 40,Date,Close,Nikkei 225,Date,Close,FTSE MIB,Date,Close,SZSE Component Index,Date,Close,DAX,Date,Close,EURONEXT 100
1/16/2020 16:30:00,7609.81,7609.81,1/16/2020 16:00:00,29297.64,29297.64,1/16/2020 17:30:00,6039.03,6039.03,1/21/2020 15:00:00,23864.56,23864.56,1/16/2020 17:30:00,23940.41,23940.41,1/16/2020 15:00:00,10967.44,10967.44,1/16/2020 20:00:00,13429.43,13429.43,1/16/2020 17:30:00,1159.2,1159.2
1/17/2020 16:30:00,7674.56,7674.56,1/17/2020 16:00:00,29348.1,29348.1,1/17/2020 17:30:00,6100.72,6100.72,1/22/2020 15:00:00,24031.35,24031.35,1/17/2020 17:30:00,24141.07,24141.07,1/17/2020 15:00:00,10954.39,10954.39,1/17/2020 20:00:00,13526.13,13526.13,1/17/2020 17:30:00,1170.06,1170.06
1/20/2020 16:30:00,7651.44,7651.44,1/21/2020 16:00:00,29196.04,29196.04,1/20/2020 17:30:00,6078.54,6078.54,1/23/2020 15:00:00,23795.44,23795.44,1/20/2020 17:30:00,24002.45,24002.45,1/20/2020 15:00:00,11115.88,11115.88,1/20/2020 20:00:00,13548.94,13548.94,1/20/2020 17:30:00,1166.93,1166.93
1/21/2020 16:30:00,7610.7,7610.7,1/22/2020 16:00:00,29186.27,29186.27,1/21/2020 17:30:00,6045.99,6045.99,1/24/2020 15:00:00,23827.18,23827.18,1/21/2020 17:30:00,23845.28,23845.28,1/21/2020 15:00:00,10953.41,10953.41,1/21/2020 20:00:00,13555.87,13555.87,1/21/2020 17:30:00,1161.33,1161.33
1/22/2020 16:30:00,7571.92,7571.92,1/23/2020 16:00:00,29160.09,29160.09,1/22/2020 17:30:00,6010.98,6010.98,1/27/2020 15:00:00,23343.51,23343.51,1/22/2020 17:30:00,23706.29,23706.29,1/22/2020 15:00:00,11072.06,11072.06,1/22/2020 20:00:00,13515.75,13515.75,1/22/2020 17:30:00,1158.03,1158.03
1/23/2020 16:30:00,7507.67,7507.67,1/24/2020 16:00:00,28989.73,28989.73,1/23/2020 17:30:00,5971.79,5971.79,1/28/2020 15:00:00,23215.71,23215.71,1/23/2020 17:30:00,23707.05,23707.05,1/23/2020 15:00:00,10681.9,10681.9,1/23/2020 20:00:00,13388.42,13388.42,1/23/2020 17:30:00,1149.05,1149.05
1/24/2020 16:30:00,7585.98,7585.98,1/27/2020 16:00:00,28535.8,28535.8,1/24/2020 17:30:00,6024.26,6024.26,1/29/2020 15:00:00,23379.4,23379.4,1/24/2020 17:30:00,23969.13,23969.13,2/3/2020 15:00:00,9779.67,9779.67,1/24/2020 20:00:00,13576.68,13576.68,1/24/2020 17:30:00,1160.41,1160.41
1/27/2020 16:30:00,7412.05,7412.05,1/28/2020 16:00:00,28722.85,28722.85,1/27/2020 17:30:00,5863.02,5863.02,1/30/2020 15:00:00,22977.75,22977.75,1/27/2020 17:30:00,23416.13,23416.13,2/4/2020 15:00:00,10089.67,10089.67,1/27/2020 20:00:00,13204.77,13204.77,1/27/2020 17:30:00,1131.52,1131.52
1/28/2020 16:30:00,7480.69,7480.69,1/29/2020 16:00:00,28734.45,28734.45,1/28/2020 17:30:00,5925.82,5925.82,1/31/2020 15:00:00,23205.18,23205.18,1/28/2020 17:30:00,24027.63,24027.63,2/5/2020 15:00:00,10305.5,10305.5,1/28/2020 20:00:00,13323.69,13323.69,1/28/2020 17:30:00,1142.43,1142.43
1/29/2020 16:30:00,7483.57,7483.57,1/30/2020 16:00:00,28859.44,28859.44,1/29/2020 17:30:00,5954.89,5954.89,2/3/2020 15:00:00,22971.94,22971.94,1/29/2020 17:30:00,24164.73,24164.73,2/6/2020 15:00:00,10601.34,10601.34,1/29/2020 20:00:00,13345,13345,1/29/2020 17:30:00,1146.55,1146.55
1/30/2020 16:30:00,7381.96,7381.96,1/31/2020 16:00:00,28256.03,28256.03,1/30/2020 17:30:00,5871.77,5871.77,2/4/2020 15:00:00,23084.59,23084.59,1/30/2020 17:30:00,23781.1,23781.1,2/7/2020 15:00:00,10611.55,10611.55,1/30/2020 20:00:00,13157.12,13157.12,1/30/2020 17:30:00,1132.35,1132.35
1/31/2020 16:30:00,7286.01,7286.01,2/3/2020 16:00:00,28399.81,28399.81,1/31/2020 17:30:00,5806.34,5806.34,2/5/2020 15:00:00,23319.56,23319.56,1/31/2020 17:30:00,23237.03,23237.03,2/10/2020 15:00:00,10728.46,10728.46,1/31/2020 20:00:00,12981.97,12981.97,1/31/2020 17:30:00,1120.23,1120.23
2/3/2020 16:30:00,7326.31,7326.31,2/4/2020 16:00:00,28807.63,28807.63,2/3/2020 17:30:00,5832.51,5832.51,2/6/2020 15:00:00,23873.59,23873.59,2/3/2020 17:30:00,23460.01,23460.01,2/11/2020 15:00:00,10768.63,10768.63,2/3/2020 20:00:00,13045.19,13045.19,2/3/2020 17:30:00,1125.58,1125.58
2/4/2020 16:30:00,7439.82,7439.82,2/5/2020 16:00:00,29290.85,29290.85,2/4/2020 17:30:00,5935.05,5935.05,2/7/2020 15:00:00,23827.98,23827.98,2/4/2020 17:30:00,23844.85,23844.85,2/12/2020 15:00:00,10940.8,10940.8,2/4/2020 20:00:00,13281.74,13281.74,2/4/2020 17:30:00,1144.73,1144.73
