Date,restaurant,delivery,isPartial,Time
2020-01-12,72,29,False,22:00:00
2020-01-12,70,29,False,23:00:00
2020-01-13,64,28,False,00:00:00
2020-01-13,55,24,False,01:00:00
2020-01-13,47,22,False,02:00:00
2020-01-13,43,21,False,03:00:00
2020-01-13,38,19,False,04:00:00
2020-01-13,35,17,False,05:00:00
2020-01-13,35,16,False,06:00:00
2020-01-13,37,14,False,07:00:00
2020-01-13,42,14,False,08:00:00
2020-01-13,47,16,False,09:00:00
2020-01-13,51,25,False,10:00:00
2020-01-13,50,13,False,11:00:00
2020-01-13,47,16,False,12:00:00
2020-01-13,44,20,False,13:00:00
2020-01-13,46,27,False,14:00:00
2020-01-13,52,29,False,15:00:00
2020-01-13,59,25,False,16:00:00
2020-01-13,66,21,False,17:00:00
2020-01-13,66,26,False,18:00:00
2020-01-13,61,16,False,19:00:00
2020-01-13,60,21,False,20:00:00
2020-01-13,60,34,False,21:00:00
2020-01-13,62,41,False,22:00:00
2020-01-13,62,27,False,23:00:00
2020-01-14,57,25,False,00:00:00
2020-01-14,51,23,False,01:00:00
2020-01-14,47,22,False,02:00:00
2020-01-14,43,21,False,03:00:00
2020-01-14,39,19,False,04:00:00
2020-01-14,35,17,False,05:00:00
2020-01-14,36,15,False,06:00:00
2020-01-14,39,15,False,07:00:00
2020-01-14,43,13,False,08:00:00
2020-01-14,47,13,False,09:00:00
2020-01-14,53,13,False,10:00:00
2020-01-14,49,12,False,11:00:00
2020-01-14,43,12,False,12:00:00
2020-01-14,43,12,False,13:00:00
2020-01-14,45,13,False,14:00:00
2020-01-14,52,14,False,15:00:00
2020-01-14,61,16,False,16:00:00
2020-01-14,68,17,False,17:00:00
2020-01-14,67,17,False,18:00:00
2020-01-14,62,16,False,19:00:00
2020-01-14,61,16,False,20:00:00
2020-01-14,63,17,False,21:00:00
2020-01-14,67,21,False,22:00:00
2020-01-14,66,24,False,23:00:00
2020-01-15,61,24,False,00:00:00
2020-01-15,59,23,False,00:00:00
2020-01-15,52,22,False,01:00:00
2020-01-15,48,20,False,02:00:00
2020-01-15,43,19,False,03:00:00
2020-01-15,38,18,False,04:00:00
2020-01-15,36,17,False,05:00:00
2020-01-15,35,14,False,06:00:00
2020-01-15,39,14,False,07:00:00
2020-01-15,43,13,False,08:00:00
2020-01-15,48,13,False,09:00:00
2020-01-15,53,12,False,10:00:00
2020-01-15,49,11,False,11:00:00
2020-01-15,44,11,False,12:00:00
2020-01-15,43,12,False,13:00:00
2020-01-15,46,13,False,14:00:00
2020-01-15,52,14,False,15:00:00
2020-01-15,60,16,False,16:00:00
2020-01-15,66,17,False,17:00:00
2020-01-15,67,16,False,18:00:00
2020-01-15,62,16,False,19:00:00
2020-01-15,60,15,False,20:00:00
2020-01-15,62,17,False,21:00:00
2020-01-15,65,20,False,22:00:00
2020-01-15,67,24,False,23:00:00
2020-01-16,64,27,False,00:00:00
2020-01-16,55,25,False,01:00:00
2020-01-16,52,26,False,02:00:00
2020-01-16,45,21,False,03:00:00
2020-01-16,39,19,False,04:00:00
2020-01-16,37,17,False,05:00:00
2020-01-16,36,16,False,06:00:00
2020-01-16,40,14,False,07:00:00
2020-01-16,44,13,False,08:00:00
2020-01-16,48,13,False,09:00:00
2020-01-16,54,13,False,10:00:00
2020-01-16,51,12,False,11:00:00
2020-01-16,44,13,False,12:00:00
2020-01-16,43,13,False,13:00:00
2020-01-16,46,13,False,14:00:00
2020-01-16,53,14,False,15:00:00
2020-01-16,63,16,False,16:00:00
2020-01-16,69,17,False,17:00:00
2020-01-16,69,17,False,18:00:00
2020-01-16,64,16,False,19:00:00
2020-01-16,64,17,False,20:00:00
2020-01-16,66,18,False,21:00:00
2020-01-16,69,22,False,22:00:00
2020-01-16,69,25,False,23:00:00
2020-01-17,66,26,False,00:00:00
2020-01-17,58,24,False,01:00:00
2020-01-17,52,22,False,02:00:00
2020-01-17,47,22,False,03:00:00
2020-01-17,43,19,False,04:00:00
2020-01-17,42,19,False,05:00:00
2020-01-17,40,16,False,06:00:00
2020-01-17,43,15,False,07:00:00
2020-01-17,47,13,False,08:00:00
2020-01-17,52,13,False,09:00:00
2020-01-17,57,12,False,10:00:00
2020-01-17,55,12,False,11:00:00
2020-01-17,50,12,False,12:00:00
