Date,Coronavirus,covid-19,isPartial,Time
2020-01-12,41,0,False,03:00:00
2020-01-12,43,0,False,04:00:00
2020-01-12,39,0,False,05:00:00
2020-01-12,38,0,False,06:00:00
2020-01-12,36,0,False,07:00:00
2020-01-12,34,0,False,08:00:00
2020-01-12,46,0,False,09:00:00
2020-01-12,52,0,False,10:00:00
2020-01-12,32,0,False,11:00:00
2020-01-12,34,0,False,12:00:00
2020-01-12,30,0,False,13:00:00
2020-01-12,33,0,False,14:00:00
2020-01-12,28,0,False,15:00:00
2020-01-12,45,0,False,16:00:00
2020-01-12,92,0,False,17:00:00
2020-01-12,90,0,False,18:00:00
2020-01-12,60,0,False,19:00:00
2020-01-12,44,0,False,20:00:00
2020-01-12,47,0,False,21:00:00
2020-01-12,45,0,False,22:00:00
2020-01-12,52,0,False,23:00:00
2020-01-13,49,0,False,00:00:00
2020-01-13,55,0,False,01:00:00
2020-01-13,52,0,False,02:00:00
2020-01-13,56,0,False,03:00:00
2020-01-13,43,0,False,04:00:00
2020-01-13,42,0,False,05:00:00
2020-01-13,50,0,False,06:00:00
2020-01-13,38,0,False,07:00:00
2020-01-13,31,0,False,08:00:00
2020-01-13,31,0,False,09:00:00
2020-01-13,32,0,False,10:00:00
2020-01-13,33,0,False,11:00:00
2020-01-13,33,0,False,12:00:00
2020-01-13,40,0,False,13:00:00
2020-01-13,42,0,False,14:00:00
2020-01-13,43,0,False,15:00:00
2020-01-13,52,0,False,16:00:00
2020-01-13,49,0,False,17:00:00
2020-01-13,46,0,False,18:00:00
2020-01-13,50,0,False,19:00:00
2020-01-13,46,0,False,20:00:00
2020-01-13,48,0,False,21:00:00
2020-01-13,51,0,False,22:00:00
2020-01-13,59,0,False,23:00:00
2020-01-14,54,0,False,00:00:00
2020-01-14,56,0,False,01:00:00
2020-01-14,53,0,False,02:00:00
2020-01-14,58,0,False,03:00:00
2020-01-14,58,0,False,04:00:00
2020-01-14,63,0,False,05:00:00
2020-01-14,47,0,False,06:00:00
2020-01-14,46,0,False,07:00:00
2020-01-14,38,0,False,08:00:00
2020-01-14,35,0,False,09:00:00
2020-01-14,38,0,False,10:00:00
2020-01-14,38,0,False,11:00:00
2020-01-14,45,0,False,12:00:00
2020-01-14,55,0,False,13:00:00
2020-01-14,71,0,False,14:00:00
2020-01-14,66,0,False,15:00:00
2020-01-14,69,0,False,16:00:00
2020-01-14,72,0,False,17:00:00
2020-01-14,86,0,False,18:00:00
2020-01-14,77,0,False,19:00:00
2020-01-14,84,0,False,20:00:00
2020-01-14,77,0,False,21:00:00
2020-01-14,91,0,False,22:00:00
2020-01-14,87,0,False,23:00:00
2020-01-15,76,0,False,00:00:00
2020-01-15,0,0,False,00:00:00
2020-01-15,0,0,False,01:00:00
2020-01-15,0,0,False,02:00:00
2020-01-15,0,0,False,03:00:00
2020-01-15,0,0,False,04:00:00
2020-01-15,0,0,False,05:00:00
2020-01-15,0,0,False,06:00:00
2020-01-15,0,0,False,07:00:00
2020-01-15,0,0,False,08:00:00
2020-01-15,0,0,False,09:00:00
2020-01-15,0,0,False,10:00:00
2020-01-15,0,0,False,11:00:00
2020-01-15,0,0,False,12:00:00
2020-01-15,0,0,False,13:00:00
2020-01-15,0,0,False,14:00:00
2020-01-15,0,0,False,15:00:00
2020-01-15,0,0,False,16:00:00
2020-01-15,0,0,False,17:00:00
2020-01-15,0,0,False,18:00:00
2020-01-15,0,0,False,19:00:00
2020-01-15,0,0,False,20:00:00
2020-01-15,0,0,False,21:00:00
2020-01-15,0,0,False,22:00:00
2020-01-15,0,0,False,23:00:00
2020-01-16,1,0,False,00:00:00
2020-01-16,1,0,False,01:00:00
2020-01-16,1,0,False,02:00:00
2020-01-16,1,0,False,03:00:00
2020-01-16,1,0,False,04:00:00
2020-01-16,1,0,False,05:00:00
2020-01-16,1,0,False,06:00:00
2020-01-16,1,0,False,07:00:00
2020-01-16,1,0,False,08:00:00
2020-01-16,1,0,False,09:00:00
2020-01-16,1,0,False,10:00:00
2020-01-16,1,0,False,11:00:00
2020-01-16,1,0,False,12:00:00
2020-01-16,1,0,False,13:00:00
2020-01-16,1,0,False,14:00:00
2020-01-16,1,0,False,15:00:00
2020-01-16,1,0,False,16:00:00
2020-01-16,1,0,False,17:00:00
2020-01-16,1,0,False,18:00:00
2020-01-16,1,0,False,19:00:00
2020-01-16,1,0,False,20:00:00
2020-01-16,1,0,False,21:00:00
2020-01-16,1,0,False,22:00:00
2020-01-16,1,0,False,23:00:00
2020-01-17,1,0,False,00:00:00
2020-01-17,1,0,False,01:00:00
2020-01-17,1,0,False,02:00:00
2020-01-17,2,0,False,03:00:00
2020-01-17,2,0,False,04:00:00
2020-01-17,2,0,False,05:00:00
2020-01-17,2,0,False,06:00:00
2020-01-17,1,0,False,07:00:00
2020-01-17,1,0,False,08:00:00
2020-01-17,1,0,False,09:00:00
2020-01-17,1,0,False,10:00:00
2020-01-17,1,0,False,11:00:00
2020-01-17,1,0,False,12:00:00
2020-01-17,1,0,False,13:00:00
2020-01-17,1,0,False,14:00:00
2020-01-17,1,0,False,15:00:00
2020-01-17,1,0,False,16:00:00
2020-01-17,1,0,False,17:00:00
2020-01-17,1,0,False,18:00:00
2020-01-17,2,0,False,19:00:00
2020-01-17,2,0,False,20:00:00
2020-01-17,2,0,False,21:00:00
2020-01-17,2,0,False,22:00:00
2020-01-17,5,0,False,23:00:00
2020-01-18,3,0,False,00:00:00
2020-01-18,3,0,False,01:00:00
2020-01-18,3,0,False,02:00:00
2020-01-18,3,0,False,03:00:00
2020-01-18,4,0,False,04:00:00
2020-01-18,3,0,False,05:00:00
2020-01-18,2,0,False,06:00:00
2020-01-18,2,0,False,07:00:00
2020-01-18,2,0,False,08:00:00
2020-01-18,2,0,False,09:00:00
